scope,dimension,family,level,measure,runs,mean,normal_ci95_low,normal_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,normal_width,bootstrap_width,relative_width_change
figure_2_marginal,n,ws,800,tau_h,800,250.25375,215.27688736316367,285.2306126368363,216.6253125,286.04299999999995,69.95372527367266,69.41768749999994,-0.0076627480748970855
figure_2_marginal,k_colors,ba,2,tau_h,640,38.840625,36.24400239167858,41.43724760832143,36.2577734375,41.443828125,5.19324521664285,5.186054687500004,-0.0013845926473494696
figure_2_marginal,k_colors,ba,3,tau_h,640,69.3796875,63.96084434211644,74.79853065788357,64.07640624999999,74.9859765625,10.837686315767137,10.909570312500009,0.006632780709688202
figure_2_marginal,k_colors,ba,4,tau_h,640,78.1890625,71.19108000055819,85.18704499944182,71.3749609375,85.2782421875,13.995964998883636,13.903281249999992,-0.006622176383767497
figure_2_marginal,k_colors,ba,5,tau_h,640,100.1875,92.11972801642538,108.25527198357462,92.392109375,108.5330078125,16.135543967149232,16.1408984375,0.0003318431880368067
figure_2_marginal,k_colors,ba,8,tau_h,640,143.4453125,132.0238474978761,154.8667775021239,132.2140234375,154.99390625,22.84293000424782,22.779882812500006,-0.0027600308601430923
figure_2_marginal,k_colors,er,2,tau_h,640,47.578125,44.210947049297516,50.945302950702484,44.2889453125,50.9141015625,6.734355901404967,6.625156250000003,-0.016215307447915217
figure_2_marginal,k_colors,er,3,tau_h,640,57.175,53.26255281605794,61.087447183942054,53.3375,61.1890625,7.824894367884113,7.8515625,0.003408114009224361
figure_2_marginal,k_colors,er,4,tau_h,640,66.3,61.58428379390116,71.01571620609883,61.7046875,71.1171875,9.431432412197672,9.412500000000001,-0.00200737399901052
figure_2_marginal,k_colors,er,5,tau_h,640,81.2796875,75.15329898976424,87.40607601023575,75.3248046875,87.50636718749999,12.252777020471513,12.181562499999984,-0.005812112662504698
figure_2_marginal,k_colors,er,8,tau_h,640,172.4453125,154.38784359604568,190.50278140395432,154.3687109375,190.76265625,36.11493780790863,36.393945312499994,0.00772554298931305
figure_2_marginal,k_colors,ws,2,tau_h,640,37.4359375,34.826486624477305,40.0453883755227,34.878085937499996,40.084453125,5.218901751045394,5.206367187500007,-0.0024017626970801453
figure_2_marginal,k_colors,ws,3,tau_h,640,60.7328125,56.51119160611597,64.95443339388403,56.553125,64.9548046875,8.44324178776806,8.4016796875,-0.004922528729222386
figure_2_marginal,k_colors,ws,4,tau_h,640,37.66875,35.305495490419204,40.0320045095808,35.2983984375,40.0250390625,4.726509019161597,4.726640625000002,2.7844194916637477e-05
figure_2_marginal,k_colors,ws,5,tau_h,640,131.8890625,118.91314416634755,144.86498083365242,119.1400390625,145.03644531249998,25.951836667304875,25.896406249999984,-0.0021358957369951304
figure_2_marginal,k_colors,ws,8,tau_h,640,296.3796875,250.1849328473157,342.5744421526843,251.2577734375,344.29363281249994,92.38950930536859,93.03585937499994,0.006995924910641271
figure_2_marginal,average_degree,ba,4.0,tau_h,800,164.0375,153.72545685499387,174.34954314500612,153.50871874999999,174.30125,20.624086290012258,20.792531250000025,0.00816739018733359
figure_2_marginal,average_degree,ba,8.0,tau_h,800,80.90375,74.99446504263366,86.81303495736634,75.18490625,86.9650625,11.818569914732677,11.780156250000005,-0.0032502802800860042
figure_2_marginal,average_degree,ba,12.0,tau_h,800,57.4375,53.85492498377618,61.02007501622382,53.97621875,61.060125,7.165150032447642,7.083906249999998,-0.011338741279628195
figure_2_marginal,average_degree,ba,16.0,tau_h,800,41.655,39.209086807318656,44.10091319268135,39.28121875,44.05628125,4.891826385362691,4.775062499999997,-0.023869180172067184
figure_2_marginal,average_degree,er,4.0,tau_h,800,175.02,160.2985150486384,189.74148495136163,160.81796875,189.87253125,29.442969902723235,29.054562500000003,-0.01319185544143453
figure_2_marginal,average_degree,er,8.0,tau_h,800,71.10875,66.8782387403241,75.33926125967591,66.9699375,75.42134375,8.461022519351815,8.451406250000005,-0.001136537496480572
figure_2_marginal,average_degree,er,12.0,tau_h,800,50.47875,47.61902935642378,53.338470643576215,47.65865625,53.30253125,5.719441287152435,5.643875000000001,-0.013212179889349973
figure_2_marginal,average_degree,er,16.0,tau_h,800,43.215,40.710424867708774,45.71957513229123,40.735,45.73384375,5.009150264582459,4.998843749999999,-0.0020575375139637586
figure_2_marginal,average_degree,ws,4.0,tau_h,800,295.8125,258.03216337492387,333.59283662507613,259.36553125,334.365625,75.56067325015226,75.00009375000002,-0.007418932045462068
figure_2_marginal,average_degree,ws,8.0,tau_h,800,66.62125,62.3470969776844,70.8954030223156,62.38246875,70.96153125000001,8.548306044631204,8.579062500000006,0.0035979590819772422
figure_2_marginal,average_degree,ws,12.0,tau_h,800,51.4175,48.168252083725484,54.66674791627451,48.24984375,54.71878125,6.498495832549025,6.468937500000003,-0.004548488344175539
figure_2_marginal,average_degree,ws,16.0,tau_h,800,37.43375,35.31620397802885,39.551296021971154,35.35490625,39.55503125,4.235092043942302,4.200125,-0.008256501530425453
